ID,Incident Number,Incident Date,Age,Sex of Victim,Race of Victim,Injury,Relationship,State,Location
40,TCD0VPU7 8N: ,20020316,23: ,M: Male,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
41,TCD0VPU7 8N: ,20020316,23: ,F: Female,W: White,N: None,VO: Victim was Offender,15: KS,20: Residence/Home
42,CI01XVSMQ2 N: ,20020211,47: ,M: Male,W: White,M: Apparent Minor Injury,OK: Victim was Otherwise Known,15: KS,15: Jail/Prison
43,C--191NCOZL6: ,20020330,36: ,F: Female,W: White,M: Apparent Minor Injury,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
44,C--1A9MCOZL6: ,20020126,03: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
45,5H52M29NXAEM: ,20020112,27: ,F: Female,I: American Indian/Alaskan Native,N: None,SE: Victim was Spouse,15: KS,25: Other/unknown
46,5I54M2SNXAEM: ,20020308,09: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
47,-H-9J38-1RVS: ,20020301,BB: 7-364 Days Old,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
48,5J-UFZ851AEM: ,20020222,15: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
49,T-BIEP 728N: ,20020121,20: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
50,T-BROT 728N: ,20020108,41: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
51,T-BRYT 728N: ,20020120,13: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
52,CI01XVZCG2 N: ,20020209,31: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,13: Highway/Road/Alley
53,CI01XVMQG2 N: ,20020125,41: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
54,CI01XVT962 N: ,20020304,21: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
55,T0BAOZM72 N: ,20020218,25: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,25: Other/unknown
56,T0BKEEH72 N: ,20020129,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
57,T0BRY5V72 N: ,20020109,38: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
58,I0 RYMCTF N: ,20020303,08: ,F: Female,U: Unknown,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
59,TCURYSQ7 8N: ,20020303,00: Unknown,F: Female,U: Unknown,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
60,08-H40F0UD1A: ,20020104,33: ,M: Male,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
61,08-H40O08C1A: ,20020308,33: ,M: Male,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,22: School/College
62,19-MW1H1F2 I: ,20020314,30: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
63,19-MW1M1FJ I: ,20020224,03: ,F: Female,B: Black,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
64,19-MW1S1FG I: ,20020210,27: ,M: Male,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
65,4I-ZR4S4XMW5: ,20020323,43: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
66,5J-UO595 NEM: ,20020222,09: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
67,5J-UO5L5BDEM: ,20020325,53: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
68,6S-ID6A6TH72: ,20020329,31: ,M: Male,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
69,86-4I868V39G: ,20020118,08: ,M: Male,B: Black,M: Apparent Minor Injury,SB: Victim was Sibling,15: KS,20: Residence/Home
70,97-WN9Q9OUTD: ,20020306,39: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
71,T-GIHP 728N: ,20020104,04: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
72,T-4AOQ 728N: ,20020205,20: ,F: Female,W: White,L: Severe Laceration,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
73,CI01ROMCT2 N: ,20020306,40: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
74,08-H4U70L41A: ,20020120,50: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,25: Other/unknown
75,08-HQBW0LLXA: ,20020116,18: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
76,19-ME5F10W I: ,20020401,20: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
77,19-MFEF1-U I: ,20020221,13: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,22: School/College
78,2L-0WJO2K739: ,20020315,BB: 7-364 Days Old,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
79,2L-J4ZO2X639: ,20020105,17: ,F: Female,W: White,I: Possible Internal Injury,ST: Victim was Stranger,15: KS,3: Bar/Nightclub
80,2L-JDVO2MS39: ,20020305,31: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
81,2L-JIVO2RV39: ,20020325,43: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
82,2L-JIZO2RO39: ,20020326,26: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
83,T0G-YRU72 N: ,20020330,02: ,F: Female,W: White,N: None,GC: Victim was Grandchild,15: KS,25: Other/unknown
84,CT01IC3U72 N: ,20020201,19: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,13: Highway/Road/Alley
85,CT01RARU72 N: ,20020107,02: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
86,CI01RVZMGF N: ,20020211,22: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
87,T-10A5 728N: ,20020326,17: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,25: Other/unknown
88,T-1IMM 728N: ,20020316,39: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
89,T-1IWR 728N: ,20020316,21: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,3: Bar/Nightclub
90,T-4IBM 728N: ,20020214,18: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
91,T-4RVE 728N: ,20020201,16: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
92,T-BABB 728N: ,20020109,22: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
93,T-BECQ 728N: ,20020127,25: ,M: Male,B: Black,M: Apparent Minor Injury,RU: Relationship Unknown,15: KS,20: Residence/Home
94,T-DYVP 728N: ,20020126,40: ,F: Female,B: Black,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
95,TNB1B5U728: ,20020312,61: ,M: Male,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,7: Convenience Store
96,TNB1WTU728: ,20020309,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
97,CI01ROZL72 N: ,20020111,19: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,10: Field/Woods
98,T-BIM3 728N: ,20020122,48: ,F: Female,W: White,M: Apparent Minor Injury,PA: Victim was Parent,15: KS,20: Residence/Home
99,K2ZL41YE0W5: ,20020314,18: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
100,K2ZL4Z N0W5: ,20020311,14: ,F: Female,W: White,M: Apparent Minor Injury,OK: Victim was Otherwise Known,15: KS,22: School/College
101,2W2HP0KZLD1A: ,20020112,15: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
102,2W2HP0KZLD1A: ,20020112,17: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
103,2W2HP0KZLD1A: ,20020112,18: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
104,2W2HP0KZLD1A: ,20020112,15: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
105,2W2HP0KZLD1A: ,20020112,15: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
106,2W2HP0KZLD1A: ,20020112,17: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
107,2W2HP0KZLD1A: ,20020112,16: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
108,3A2MQ12P-X I: ,20020107,35: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
109,3A2MQ1KC0X I: ,20020128,34: ,F: Female,A: Asian/Pacific Islander,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
110,3A2MQ1KHFX I: ,20020128,39: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
111,3A2MQ1P8PX I: ,20020201,37: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
112,NH2U75LGKAEM: ,20020327,38: ,M: Male,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
113,NH2U75LGKAEM: ,20020327,29: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,25: Other/unknown
114,CI01RO5DQC N: ,20020324,26: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
115,CI01RO5DSX N: ,20020310,26: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
116,CI01RO5DSX N: ,20020310,08: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
117,CI01RO5DSX N: ,20020310,06: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
118,CI01RO5DSX N: ,20020310,01: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
119,CI01RO5DSX N: ,20020310,01: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
120,CI01ROMLPF N: ,20020228,21: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,18: Parking Lot/Garage
121,CI01RVZL-F N: ,20020101,19: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
122,CI01RC5Q72 N: ,20020306,04: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,20: Residence/Home
123,U101RO3DP2 N: ,20020321,20: ,F: Female,W: White,M: Apparent Minor Injury,VO: Victim was Offender,15: KS,20: Residence/Home
124,U101RO3DP2 N: ,20020321,21: ,M: Male,W: White,M: Apparent Minor Injury,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
125,U101RVBH-2 N: ,20020118,17: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
126,U101RVBV62 N: ,20020120,26: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
127,U101RVQVF2 N: ,20020219,42: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
128,U101RVRHV2 N: ,20020222,27: ,F: Female,B: Black,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
129,U101RVS--2 N: ,20020105,BB: 7-364 Days Old,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
130,6-4KWT 728N: ,20020401,04: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
131,6-4KWT 728N: ,20020401,02: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
132,T-1AOP 728N: ,20020319,19: ,F: Female,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,15: KS,20: Residence/Home
133,T-4YEP 728N: ,20020310,16: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
134,T-4YEP 728N: ,20020310,18: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
135,T-4YEP 728N: ,20020310,18: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,25: Other/unknown
136,T-BYFP 728N: ,20020204,20: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
137,T-4KFS 728N: ,20020314,21: ,F: Female,B: Black,N: None,AQ: Victim was Acquaintance,15: KS,13: Highway/Road/Alley
138,2L-J8JA2-F39: ,20020212,18: ,F: Female,W: White,N: None,IL: Victim was In-Law,15: KS,20: Residence/Home
139,5J-UHZS51AEM: ,20020228,22: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,13: Highway/Road/Alley
140,5J-UO 851AEM: ,20020213,04: ,M: Male,B: Black,N: None,CH: Victim was Child,15: KS,22: School/College
141,5J-UO 851AEM: ,20020213,09: ,F: Female,B: Black,N: None,CH: Victim was Child,15: KS,22: School/College
142,86-4V4C8F39G: ,20020330,40: ,F: Female,B: Black,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
143,MX2ZY6ABPU72: ,20020304,25: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
144,UA2TQ1MG6X I: ,20020114,32: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
145,EW29P0F ID1A: ,20020103,18: ,F: Female,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
146,HK2NL42FC0W5: ,20020316,08: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,25: Other/unknown
147,HK2NL42FC0W5: ,20020316,47: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,25: Other/unknown
148,CI01N2SCP2 N: ,20020222,16: ,F: Female,W: White,I: Possible Internal Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
149,T-BIMZ 728N: ,20020211,40: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,21: Restaurant
150,T-BIMZ 728N: ,20020211,16: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,21: Restaurant
151,T-BIMZ 728N: ,20020211,17: ,M: Male,B: Black,N: None,RU: Relationship Unknown,15: KS,21: Restaurant
152,T-BIMZ 728N: ,20020211,29: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,21: Restaurant
153,T-BIMZ 728N: ,20020211,16: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,21: Restaurant
154,T0BRF3R72 N: ,20020311,29: ,M: Male,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,20: Residence/Home
155,T0BRF3R72 N: ,20020311,29: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
156,T0BRF3R72 N: ,20020311,05: ,F: Female,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
157,T0BRF3R72 N: ,20020311,01: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
158,IA2MQ1HO6X I: ,20020210,22: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,21: Restaurant
159,IA2MQ1HO6X I: ,20020210,23: ,M: Male,W: White,N: None,ST: Victim was Stranger,15: KS,21: Restaurant
160,T-BRWZ 728N: ,20020114,32: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,10: Field/Woods
161,TCBRVBU7 8N: ,20020101,29: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
162,CI01XVZMT2 N: ,20020204,19: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
163,T04IEPU72 N: ,20020122,69: ,F: Female,W: White,N: None,PA: Victim was Parent,15: KS,20: Residence/Home
164,T01RFMU72 N: ,20020226,49: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,2: Bank/Savings and Loan
165,T01RFMU72 N: ,20020226,70: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,2: Bank/Savings and Loan
166,T01RFMU72 N: ,20020226,71: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,2: Bank/Savings and Loan
167,T04KBMU72 N: ,20020202,40: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,20: Residence/Home
168,T0 -W3U72 N: ,20020331,21: ,F: Female,W: White,M: Apparent Minor Injury,CS: Victim was Common-Law Spouse,15: KS,14: Hotel/Motel/Etc.
169,T041B3U72 N: ,20020211,12: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
170,T041B3U72 N: ,20020211,12: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
171,T041B3U72 N: ,20020211,17: ,M: Male,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
172,T041B3U72 N: ,20020211,15: ,M: Male,B: Black,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
173,T041B3U72 N: ,20020211,15: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
174,T-BABP 728N: ,20020122,42: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
175,19-MQVM1PX I: ,20020216,18: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,13: Highway/Road/Alley
176,6S-IY416QU72: ,20020301,15: ,F: Female,B: Black,M: Apparent Minor Injury,RU: Relationship Unknown,15: KS,20: Residence/Home
177,97-W5HQ9ZCTD: ,20020107,18: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,3: Bar/Nightclub
178,2W0JPU728708: ,20020104,33: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
179,LN0 KOZL6283: ,20020103,20: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
180,O206J4KOBB72: ,20020203,38: ,F: Female,W: White,B: Apparent Broken Bones,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
181,T-40FP 728N: ,20020329,15: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,20: Residence/Home
182,4ISDL74SB0W5: ,20020213,30: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,15: KS,25: Other/unknown
183,5J5U72L78AEM: ,20020108,24: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,18: Parking Lot/Garage
184,5JS 7354BAEM: ,20020116,49: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
185,CI01RVBV-2 N: ,20020215,21: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
186,T-BKMZ 728N: ,20020316,14: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
187,T-BRCE 728N: ,20020127,22: ,F: Female,W: White,N: None,SE: Victim was Spouse,15: KS,13: Highway/Road/Alley
188,T-4RYB 728N: ,20020319,38: ,F: Female,W: White,O: Other Major Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
189,T-4RYB 728N: ,20020319,18: ,F: Female,W: White,O: Other Major Injury,CH: Victim was Child,15: KS,20: Residence/Home
190,T-B1OR 728N: ,20020222,38: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,15: KS,20: Residence/Home
191,T-BAAZ 728N: ,20020120,23: ,F: Female,W: White,M: Apparent Minor Injury,CS: Victim was Common-Law Spouse,15: KS,20: Residence/Home
192,T-BAYR 728N: ,20020116,13: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
193,T-BEYR 728N: ,20020304,36: ,F: Female,B: Black,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
194,T-BIC3 728N: ,20020127,17: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,25: Other/unknown
195,08-H7OP0TD1A: ,20020205,01: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
196,86-4KBR8F39G: ,20020210,19: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
197,97-W50Q9SCTD: ,20020113,46: ,F: Female,W: White,N: None,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
198,T-BRY3 728N: ,20020113,08: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
199,T-BRY3 728N: ,20020113,07: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
200,T-BRY3 728N: ,20020113,03: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
201,T-BRY3 728N: ,20020113,02: ,M: Male,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
202,3U-CV3H32SCT: ,20020310,30: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
203,TCUROSR7 8N: ,20020119,15: ,F: Female,W: White,N: None,RU: Relationship Unknown,15: KS,13: Highway/Road/Alley
